#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
8.8%	1765000	-29705.10075929505	298.064911415607	115	7:38:38
8.8%	1770000	-29995.266885509656	303.42467471521354	114	7:38:32
8.9%	1775000	-30121.37695348775	295.9594530889677	114	7:38:26
8.9%	1780000	-30286.590210750583	287.13495542301087	114	7:38:19
8.9%	1785000	-29881.343419839628	295.0468118414627	114	7:38:14
8.9%	1790000	-30315.800616736204	297.69307235766234	114	7:38:07
9.0%	1795000	-30063.455073491554	292.75908076813477	114	7:38:01
9.0%	1800000	-29645.4560110858	307.3363014630825	114	7:37:56
9.0%	1805000	-29969.847555439046	297.21513394092017	114	7:37:49
9.1%	1810000	-29721.158982342575	300.32307177415066	114	7:37:43
9.1%	1815000	-30083.202830268187	298.8229149438803	114	7:37:37
9.1%	1820000	-30035.235237744433	303.3435729284096	114	7:37:31
9.1%	1825000	-29663.73175109562	301.84253012836416	114	7:37:27
9.2%	1830000	-29975.965409779747	289.3411910080519	114	7:37:21
9.2%	1835000	-29861.777713975403	298.0492555120844	114	7:37:15
9.2%	1840000	-30211.878779103572	303.5135440966137	114	7:37:10
9.2%	1845000	-29943.633898914355	312.7708551960554	114	7:37:04
9.2%	1850000	-29872.824065729452	299.0258894854668	114	7:36:58
9.3%	1855000	-30468.451302971604	298.3849266265319	114	7:36:53
9.3%	1860000	-29951.810408401652	307.0411823295133	114	7:36:48
9.3%	1865000	-30034.093778102048	286.59105418489764	114	7:36:43
9.3%	1870000	-29947.52696232655	298.9244695028524	114	7:36:38
9.4%	1875000	-29987.149150262238	308.7339939647402	114	7:36:33
9.4%	1880000	-29837.913990808418	294.0509721769791	114	7:36:28
9.4%	1885000	-30016.260561923467	301.0226285963162	114	7:36:22
9.4%	1890000	-29874.11441193038	303.7944163004747	114	7:36:17
9.5%	1895000	-30229.454644499026	301.6054838278841	114	7:36:13
9.5%	1900000	-30295.79902878322	304.51153537979826	114	7:36:08
9.5%	1905000	-29686.418866733904	292.015197375235	114	7:36:02
